TestCases, MeanMissRate
1,32
2,44
3,59
4,54
5,46
6,28
7,60
8,43
9,54
10,64
11,61
12,47
13,56
14,57
15,57
16,62
17,52
18,62
19,57
20,54
21,60
22,57
23,60
24,55
25,68
26,61
27,61
28,63
29,67
30,69
31,53
32,50
33,51
34,83
35,43
36,49
37,83
38,62
39,55
40,46
41,58
42,43
43,51
44,78
45,57
46,57
47,45
48,41
49,79
50,61
51,52
52,71
53,56
54,58
55,60
56,67
57,81
58,57
59,42
60,50
61,80
62,35
63,30
64,37
65,35
66,50
67,50
68,75
69,30
70,31
71,28
72,24
73,40
74,19
75,19
76,26
77,50
78,31
79,21
80,26
81,23
82,22
83,37
84,24
85,42
86,52
87,54
88,18
89,38
90,27
91,32
92,49
93,53
94,64
95,34
96,44
97,60
98,66
99,64
100,40
101,38

Mean is 49, Median is 52
